year,country,title,rating,genre
2010,USA,Cop Out,1,"Action, Comedy, Crime"
2010,USA,Country Strong,3,"Drama, Music"
2010,USA,Cyrus,1,"Drama, Romance"
2010,USA,Date Night,3,"Comedy, Crime, Romance"
2010,USA,Dear John,0,"Drama, Romance, War"
2010,USA,Despicable Me,3,"Animation, Comedy, Crime"
2010,USA,Devil,3,"Horror, Mystery, Thriller"
2010,USA,Diary of a Wimpy Kid,3,"Comedy, Family"
2010,USA,Dinner for Schmucks,1,Comedy
2010,"USA, Australia, Mexico",Don&#39;t Be Afraid of the Dark,3,"Fantasy, Horror, Thriller"
2010,USA,Due Date,1,"Comedy, Drama"
2010,USA,Dylan Dog: Dead of Night,0,"Comedy, Horror, Mystery"
2010,USA,Easy A,3,"Comedy, Romance"
2010,USA,"Eat, Pray, Love",3,"Drama, Romance"
2010,"UK, USA",Edge of Darkness,1,"Crime, Drama, Mystery"
2010,USA,Everything Must Go,1,"Comedy, Drama"
2010,"USA, United Arab Emirates",Fair Game,3,"Biography, Drama, Thriller"
2010,USA,Faster,0,"Action, Crime, Drama"
2010,USA,For Colored Girls,3,Drama
2010,USA,Frozen,1,"Drama, Thriller"
2010,USA,Get Him To The Greek,1,"Comedy, Music"
2010,USA,Going the Distance,3,"Comedy, Romance"
2010,"France, USA, Spain, UK",Green Zone,0,"Action, Drama, Thriller"
2010,USA,Grown Ups,3,Comedy
2010,Canada,Gunless,2,"Action, Comedy, Drama"
2010,"UK, USA",Harry Potter and the Deathly Hallows: Part 1,3,"Adventure, Family, Fantasy"
2010,USA,Hot Tub Time Machine,1,"Adventure, Comedy, Sci-Fi"
2010,USA,How to Train Your Dragon,3,"Animation, Adventure, Comedy"
2010,Italy,I Am Love,3,"Drama, Romance"
2010,"USA, UK",Inception,3,"Action, Adventure, Mystery"
2010,"USA, Canada",Insidious,3,"Horror, Thriller"
2010,USA,Iron Man 2,3,"Action, Adventure, Sci-Fi"
2010,USA,It&#39;s Kind of a Funny Story,1,"Comedy, Drama, Romance"
2010,"UK, USA",Kick-Ass,1,"Action, Comedy"
2010,USA,Knight and Day,2,"Action, Comedy, Romance"
2010,USA,Legion,3,"Action, Fantasy, Horror"
2010,"UK, USA",Let Me In,1,"Drama, Horror, Mystery"
2010,USA,Letters to Juliet,3,"Comedy, Drama, Romance"
2010,USA,Love and Other Drugs,2,"Comedy, Drama, Romance"
2010,USA,Machete,3,"Action, Crime, Thriller"
2010,UK,Made In Dagenham,3,"Biography, Comedy, Drama"
2010,USA,Meek&#39;s Cutoff,2,"Drama, Western"
2010,USA,Megamind,0,"Animation, Action, Comedy"
2010,UK,Monsters,0,"Drama, Sci-Fi, Thriller"
2010,USA,Morning Glory,3,"Comedy, Drama, Romance"
2010,"UK, France, USA",Nanny McPhee and the Big Bang,3,"Comedy, Family, Fantasy"
2010,"UK, USA",Never Let Me Go,3,"Drama, Romance, Sci-Fi"
2010,USA,Paranormal Activity 2,3,Horror
2010,"Canada, USA",Percy Jackson &amp; the Olympians: The Lightning Thief,3,"Adventure, Family, Fantasy"
2010,USA,Please Give,3,"Comedy, Drama"
2010,USA,Predators,0,"Action, Adventure, Sci-Fi"
2010,USA,Prince of Persia: The Sands of Time,0,"Action, Adventure, Fantasy"
2010,USA,Rabbit Hole,3,Drama
2010,USA,Ramona and Beezus,3,"Adventure, Comedy, Family"
2010,USA,Red,2,"Action, Comedy, Crime"
2010,USA,Remember Me,3,"Drama, Romance"
2010,"USA, Canada",Repo Men,3,"Action, Crime, Sci-Fi"
2010,"USA, UK",Robin Hood,3,"Action, Adventure, Drama"
2010,USA,Salt,3,"Action, Crime, Mystery"
2010,"USA, UK, Canada, Japan",Scott Pilgrim vs. the World,3,"Action, Comedy, Fantasy"
2010,USA,Secretariat,3,"Drama, Family, History"
2010,USA,Sex and the city 2,3,"Comedy, Drama, Romance"
2010,USA,Shrek Forever After,1,"Animation, Adventure, Comedy"
2010,USA,Shutter Island,1,"Drama, Mystery, Thriller"
2010,USA,Skyline,3,"Action, Sci-Fi, Thriller"
2010,"USA, UK, Italy, Japan",Somewhere,3,Drama
2010,"UK, USA",Submarine,1,"Comedy, Drama, Romance"
2010,USA,Super,1,"Comedy, Drama"
2010,USA,Takers,1,"Action, Crime, Thriller"
2010,USA,Tangled,3,"Animation, Comedy, Family"
2010,USA,"A-Team, The",0,"Action, Adventure, Comedy"
2010,USA,"Back-up Plan, The",3,"Comedy, Romance"
2010,USA,"Chronicles of Narnia: The Voyage of the Dawn Treader, The",3,"Adventure, Family, Fantasy"
2010,USA,"Conspirator, The",3,"Crime, Drama, History"
2010,"USA, United Arab Emirates","Crazies, The",3,"Horror, Mystery, Thriller"
2010,"USA, UK, Hungary, Israel","Debt, The",3,"Drama, Thriller"
2010,USA,"Expendables, The",1,"Action, Adventure, Thriller"
2010,USA,"Fighter, The",2,"Biography, Drama, Sport"
2010,"France, Germany, UK","Ghost Writer, The",2,"Mystery, Thriller"
2010,"UK, France","Illusionist, The",0,"Animation, Drama, Fantasy"
2010,"USA, China","Karate Kid, The",3,"Action, Drama, Family"
2010,USA,"Kids Are All Right, The",3,"Comedy, Drama"
2010,"USA, Sweden, UK, Canada","Killer Inside Me, The",1,"Crime, Drama, Thriller"
2010,"UK, USA, Australia","King&#39;s Speech, The",3,"Biography, Drama, History"
2010,USA,"Last Airbender, The",1,"Action, Adventure, Family"
2010,"USA, France","Last Exorcism, The",3,"Drama, Horror, Thriller"
2010,USA,"Losers, The",1,"Action, Crime, Drama"
2010,"USA, France","Next Three Days, The",3,"Crime, Drama, Romance"
2010,USA,"Other Guys, The",2,"Action, Comedy, Crime"
2010,USA,"Runaways, The",3,"Biography, Drama, Music"
2010,USA,"Social Network, The",1,"Biography, Drama"
2010,USA,"Sorcerer&#39;s Apprentice, The",1,"Action, Adventure, Comedy"
2010,USA,"Spy Next Door, The",3,"Action, Comedy, Family"
2010,USA,"Switch, The",2,"Comedy, Drama, Romance"
2010,USA,"Tempest, The",3,"Comedy, Drama, Fantasy"
2010,"USA, France, Italy","Tourist, The",0,"Action, Romance, Thriller"
2010,USA,"Town, The",1,"Crime, Drama, Thriller"
2010,USA,"Twilight Saga: Eclipse, The",3,"Adventure, Drama, Fantasy"
2010,USA,"Wolfman, The",1,"Drama, Horror, Thriller"
2010,USA,Tiny Furniture,3,"Comedy, Drama"
2010,USA,Toy Story 3,3,"Animation, Adventure, Comedy"
2010,USA,Tron Legacy,1,"Action, Adventure, Sci-Fi"
2010,USA,True Grit,3,"Adventure, Drama, Western"
2010,"Canada, USA",Tucker and Dale vs Evil,3,"Comedy, Horror"
2010,USA,Unstoppable,3,"Action, Thriller"
2010,USA,Valentine&#39;s Day,3,"Comedy, Romance"
2010,USA,Wall Street: Money Never Sleeps,3,Drama
2010,"UK, USA",Welcome to the Rileys,3,Drama
2010,"UK, France",Wild Target,1,"Comedy, Crime"
2010,USA,Winter&#39;s Bone,3,Drama
2010,"Germany, Hungary, France",Womb,3,"Drama, Romance, Sci-Fi"
2010,"USA, New Zealand",Yogi Bear,0,"Animation, Adventure, Comedy"
2010,USA,You Again,3,"Comedy, Romance"
2010,"USA, Spain",You Will Meet a Tall Dark Stranger,3,"Comedy, Drama, Romance"
2009,USA,(500) Days of Summer,1,"Comedy, Drama, Romance"
